edad,educ,wage
20,8,2414.2487720090126
50,7,3057.362714388371
47,5,1888.225773797482
35,5,853.7028011768821
38,13,2733.330112208179
32,14,2700.7241868532046
55,13,2488.314625754669
63,6,3418.595314741898
44,10,2305.28709670272
29,9,2769.811382710666
37,5,2181.1606893519756
23,7,1493.4833451191353
67,1,2992.4445450411927
56,13,3086.4706578503847
78,6,1932.3160650868165
55,12,2737.312013755708
78,13,2520.6139874779806
23,3,2149.3254115657364
44,1,3123.8094217982416
76,3,2095.9786546884206
24,1,2123.2623804093714
41,9,2640.4558966837
23,10,2726.770354320928
71,6,3140.5455905338745
27,2,2376.7757004242353
75,14,1793.934690578005
54,2,2158.551968856594
47,12,2171.9855222681504
48,4,2355.6170330262307
28,3,2404.2377430232073
78,12,1774.5213894638036
75,9,1918.8283474046148
45,0,2482.260241526672
56,13,1893.6522314326012
30,12,3748.1054652954285
49,0,3110.9765506267104
42,13,2708.943650468049
38,2,3670.09840469795
40,10,3376.495586052689
26,8,3023.5685584571975
35,4,2574.6961095645074
36,6,3470.255495402912
50,8,2345.2336321255216
52,6,1991.0892860938382
19,1,2236.895504372783
63,2,3098.7672813324893
48,14,2463.7513311580924
48,5,2335.3845367643407
67,14,2594.6353331879213
20,4,2057.1760167703064
62,1,2297.7509120417735
46,8,2897.9518479668704
70,14,2203.4857514259206
73,9,2566.142161886008
63,11,2084.756348347558
40,2,1666.2892762033005
69,2,2905.2531900283775
38,9,2580.1748815939272
45,6,3082.041354269718
49,8,1962.6537818627767
45,7,2484.1775554145916
19,0,3317.9993975119332
30,2,3399.249111221289
20,10,2422.303122397429
36,12,2379.932900893791
63,1,2788.351627049735
58,0,2444.9838091415145
72,3,1232.8558001191068
43,14,2153.521882944538
65,11,2285.768092216663
72,7,3224.963429262807
50,12,3659.1210660634347
34,4,3221.691569587301
46,8,1907.6601032706299
35,8,2551.863784718492
54,9,2799.344935595391
35,8,2097.021418224943
36,13,2604.7814192076826
43,12,3607.4097670435867
47,12,1755.1961466023658
27,12,2845.5995416268993
42,4,2229.7966185598902
56,5,2661.0326049241226
33,5,3012.1443816949195
36,12,1455.4476990685005
61,13,2757.6119485724325
78,0,1610.0075183757613
42,0,2296.009285814547
22,10,3439.2612701247153
73,2,2040.5895486608842
54,13,2491.353017447848
27,3,2481.289198264911
37,5,2204.6803370640087
69,11,2675.945151389749
62,2,2832.279449702132
60,1,2954.863088529446
64,0,2771.7400930746467
56,12,2114.9024152844663
56,7,1550.9213914413863
18,1,1193.886330996849
48,2,3799.759674549863
76,14,2965.342725600031
55,13,1488.8698958481732
39,11,2451.1647424067814
49,13,2565.1193187859935
70,12,2695.3258906044375
29,13,2455.657887348662
75,6,2773.729662185219
37,7,2615.4548453908815
33,10,1880.9377300209203
69,10,1604.4315206057254
51,11,2180.922625605957
44,14,3077.2228579532857
70,4,2543.2025873953717
76,1,2159.580730797732
65,1,2455.635923471294
62,0,2990.1242733835315
26,3,2407.6232788777247
61,10,2330.4222504954582
56,0,2952.7786720098898
79,1,1938.6018673949816
49,5,2920.1303622400314
71,1,3319.192226916625
57,11,2308.684854831828
65,5,1673.9819071648635
29,1,2548.6478506200106
61,5,2173.9523772648245
64,7,2038.1119124804804
74,6,3725.661784412071
42,1,3023.908934024844
29,0,2904.3666341730254
36,1,2476.491988867879
46,10,1822.7024031523501
71,9,2586.1816836849766
67,5,3207.199590394018
53,13,2956.522160799116
32,2,1799.7128476081298
74,5,2270.23045769271
55,2,2360.3516702043016
60,10,2315.893988753535
21,5,2634.209252310165
63,13,2938.5186709100617
22,9,2091.89182649374
48,2,2750.669931021192
39,6,1256.651666806783
26,10,2709.843128586929
23,7,2339.2523231610066
47,14,2621.6606317503715
75,1,2894.2208400608033
45,14,2517.175683526725
67,13,2118.820761333247
63,6,2636.3617750318326
54,6,2744.8549047739325
19,9,1838.2241891626
71,1,3482.7036107694516
43,14,3198.9489771552744
21,4,3120.639757483411
62,14,3472.89072215346
49,3,2179.4109455975818
59,10,1521.1253587610988
38,10,1936.0087390238175
46,8,2508.0743624917313
43,10,2051.831674464383
40,14,2964.6533120568865
28,8,2621.600287677028
64,6,2920.384911083103
18,0,2702.525966879298
37,8,2666.0417471414903
64,7,2866.690006179114
46,3,2875.4366290622042
35,8,3071.5380315454304
43,10,2037.1717493930305
44,13,2845.45636287836
19,7,2348.2433399308607
68,5,2366.7122784856833
75,4,1703.8435538310682
61,9,2139.3862938298134
79,11,1764.442929961292
25,1,2782.2854152656355
49,9,3215.2143561744983
25,10,2439.5170819383843
60,1,1936.784048338672
49,5,2009.9844089275475
76,11,2434.6214656363018
74,12,2101.857815615544
19,11,1326.2632219708562
78,8,1706.374867950968
25,5,4139.6989071996295
33,8,2323.6207120060803
52,9,3211.0604653313558
18,11,1755.1495802494137
46,1,2635.391598054341
29,2,1340.7670149568708
41,4,2841.6883956056763
31,12,2735.6113861481044
64,0,2785.4172392229375
69,6,1367.5493096852854
68,9,2803.912689960542
39,9,2676.1917613710452
71,7,1673.7732280506057
20,8,2353.269492813019
38,10,1926.7112409370443
44,12,1604.54702043022
28,0,2022.8053928476097
35,11,1553.6642981087703
33,9,3182.544014573591
65,1,2403.5655943058227
76,2,2121.9282761828595
29,11,2996.3112864850004
27,7,905.3643118096725
19,14,2882.756312815105
35,9,2284.185708274588
35,3,2917.6599790367277
66,0,1832.7485308145838
45,9,1466.4992207191365
52,14,2890.744455427374
53,10,2333.0496275355617
63,12,2160.7871845327654
74,1,2642.9847863524183
21,9,2648.920997182338
77,8,3595.0024485153035
47,0,1770.213826034797
78,13,1578.6965454256624
52,0,2166.119831903076
42,7,2807.4529279227345
40,12,3381.743480312581
32,2,2154.5498928887805
30,13,1943.6444837162721
57,11,3089.7437601299916
74,10,3483.8443416492746
73,10,2865.8347084045845
72,11,1128.6843804112577
44,6,1920.223692560554
66,5,2821.774374351986
31,7,1679.9045320430469
78,5,2649.2568634156037
41,3,2503.813221126421
22,7,2329.6355230022264
38,2,2471.983722744455
59,7,2089.942105388325
61,0,1585.0887873831086
30,0,2425.718792743824
44,3,3285.9357998845626
39,1,1809.9563077643134
65,7,2213.2712071880446
48,13,1663.3996467132142
18,3,2372.320304350701
45,14,1876.7293179834164
63,3,837.4066126031555
22,6,3183.140915419758
68,13,2242.634603217369
65,14,2547.8622846154585
19,2,1741.183662185466
37,13,2028.9829581389208
31,11,2476.943240213797
45,9,2677.153820592884
29,6,1910.2926530496197
22,8,3414.565536256643
42,10,2664.136433277747
21,5,2613.123855405873
38,10,3036.3070354084234
46,6,3003.4712087523894
27,1,3318.0705429969944
52,0,2971.252273131086
60,8,3002.9522664543288
26,9,2208.7610748951947
44,13,2335.8253066935645
46,14,2510.754584659979
73,5,2538.1646680895383
24,12,1986.546710669995
37,6,2001.432106499463
34,10,2623.4940453444797
76,7,2849.4331442386047
73,6,2167.8885073766733
71,9,1345.6614686464698
69,2,2333.379444679335
35,12,2083.139869587527
67,12,3017.970452725318
50,8,2440.5743960276573
58,9,1870.287674202178
32,3,2944.2273971483173
50,2,1929.3877216026353
54,10,2422.1755119570694
37,7,2740.93255583308
50,10,2892.322365160314
76,9,3108.870633565396
26,0,2408.1452857253494
69,8,2540.5051928651706
74,7,2791.7247113890735
24,10,3301.3460075140974
41,6,2808.4375153451238
47,0,2330.270641194998
56,6,2162.555620966344
75,2,2452.7102999387357
74,6,3773.239476456645
47,13,2090.700801605883
68,11,3179.57998930231
70,4,3193.6497453472307
43,10,1920.3705376660655
23,0,1917.8366684664634
76,7,4003.3393841917195
19,11,2326.1706765767226
57,8,1850.1475289160721
52,8,3505.613967861273
27,7,2015.7466510651261
74,5,3431.48757799296
79,12,1335.3424469790627
34,3,2164.2905930026986
56,3,2138.045960938387
31,4,2360.653120377732
72,4,2274.4549502839495
34,9,2715.278445290998
24,6,2975.375109337421
32,1,2276.657177702426
71,6,1972.6783082249415
22,14,2909.912418839901
46,7,2234.354486677263
21,3,1416.923046770576
19,12,1453.5716207280543
41,6,2539.0540465312924
24,1,3651.614552966642
71,4,2349.8151228777792
33,5,2933.7401457941314
20,7,3197.831880961615
56,0,2355.3839434551514
38,3,3044.548273650327
18,0,2778.2509104667356
55,4,1817.662966009591
48,10,2992.2548928227143
66,7,1747.8825043137272
65,8,1332.6220378899595
78,14,2521.3302242657796
78,10,2912.9552351596953
42,8,1721.7104394154985
18,14,3333.20189959223
37,5,1930.8282868846877
69,0,1689.5364561712154
67,13,2112.975408496911
56,12,2803.7771408947006
31,10,2189.7960338452663
52,14,2148.7607763179735
33,12,2367.0562790298754
26,3,3277.8674816926364
78,5,1868.169786352807
62,4,2351.296603357258
70,7,1656.5025854683445
66,2,3068.479235873323
20,12,1595.6360516817713
75,8,2289.765286736411
37,5,2566.005037626572
52,13,2109.8802186558105
53,2,1428.85915400347
23,13,2759.3191999672817
25,10,3329.0332157949942
54,4,2634.4578339424884
45,3,1031.3463755617515
62,1,3198.934043278611
78,6,2390.5626392831423
64,2,2017.632901407868
28,3,2499.1534885395095
76,13,2599.9185420352496
78,0,3147.8861833699543
40,1,2740.5577086525886
79,5,2359.652412131145
60,11,3189.3051749407223
24,10,1933.355764380474
34,9,2862.0113058125207
60,10,3076.5500651866205
31,8,2235.6101070403583
72,9,2241.597661651526
55,12,1536.615276237782
68,4,3346.1997113707357
41,11,2491.050211065485
76,11,1387.2926215572372
26,4,3085.036727250076
28,0,2773.968655455278
52,0,1429.2326851918901
20,14,3677.244225686216
23,14,3224.6575090535007
68,8,2570.280804661545
45,3,2819.3617855689363
63,3,3242.3319991507806
75,14,3629.4820608518103
53,3,3198.8417080318395
20,0,2401.180929343213
23,14,3059.091654391963
43,1,2811.406562485043
59,12,3702.7357190507632
42,12,2769.9516954181204
53,8,3031.7323488673733
46,4,2534.1695000184955
27,11,2343.32648026701
61,8,2277.2824809446033
74,12,1971.1255288024195
55,6,1476.8233054361192
55,0,1688.461665600838
54,11,3098.3447715851403
32,9,1887.4633157454914
44,10,2410.3028307573404
35,7,2724.7961425362396
70,3,1983.9583927600743
27,4,2134.9483223192256
71,8,1984.6724318105555
48,12,2750.2210334058336
57,4,1328.7564664408476
23,6,2609.6413422127307
60,11,3495.728415673191
76,9,2655.49247003264
74,2,3279.5769036078923
36,14,2409.8969668771233
33,12,2021.4847003832447
78,4,1041.1231158633134
73,0,2814.1821113650203
77,13,2152.7892756494048
58,13,1802.653336870083
22,14,4014.811507276674
63,9,1932.0562730453642
31,6,2232.286651786278
28,9,2444.8054262667756
34,13,2276.1397975243462
25,2,1831.9134731310892
41,13,2941.529674051664
30,6,2358.13976048032
79,4,2699.7016476409135
65,5,2234.2194889645107
27,1,2680.8022057657636
51,14,2130.563066965999
49,4,2428.2987571217473
42,6,1477.9742238355943
79,8,2582.5997720374994
44,14,2792.259937131642
45,2,1985.7946248670091
49,8,3006.8111915948552
39,3,2191.5615636335133
72,12,2817.795282815796
44,11,2245.498486273587
31,4,1686.0169426991683
40,11,3022.226270561834
48,1,1728.3901082912794
52,10,1320.8149203310763
36,11,3541.125936787842
42,10,476.0321347347715
20,12,2854.110567149055
38,5,2574.8705029891935
28,10,3440.865900839705
19,4,2588.814176293239
42,10,2123.3465438539088
63,8,2636.1289778982887
50,10,2469.3450936088707
21,2,2223.647517019059
78,7,2024.5792624965088
46,8,1787.6376221307185
56,4,2719.2378510052094
29,13,2292.162016667351
45,4,2851.6037189888802
62,13,2600.6323981342784
56,11,2566.030365203165
51,5,2115.756227464572
55,11,2741.063656977698
45,7,1319.9543442598285
72,1,2619.6845442174167
23,0,2027.2117779216942
25,13,2347.9158394778783
41,5,4257.64187705639
69,5,3609.479977038918
73,3,2724.1832125637193
25,10,2274.4891733540258
41,8,2349.0607768385457
56,9,2695.2412188475087
73,14,3196.8339440605723
25,3,1907.6497468853295
51,8,1809.3007676137227
74,1,2836.994236694054
58,10,2215.8279413523724
20,14,1145.8462193591051
57,2,2156.3251846447124
43,8,2659.8872086476986
67,3,3643.9963751071355
74,0,1952.6011974282399
77,1,2997.2665430177526
29,12,2637.3263560861533
57,8,1334.7376297718547
54,0,1997.735659025125
56,8,2018.2618350239854
63,2,2644.4361443979365
22,13,2577.7570545881117
50,12,1708.0711413748236
52,11,2111.279150780687
29,0,2371.3912444111024
59,0,3191.146472011465
41,4,2809.0491217398676
33,12,2317.023839473994
35,4,1904.5604408847516
74,6,2378.512919416465
67,7,3096.229846356062
21,11,2051.4508538087657
44,0,2016.8166738931418
74,11,2058.151810819169
45,0,2965.415689842776
26,7,2476.966428153856
55,9,3367.862660801805
59,2,3002.67897879945
31,5,3921.6924822018204
37,7,1741.4053899881642
24,6,2390.5878327063256
44,1,2415.355346917276
23,6,1931.320240601942
40,11,3130.0681537212295
74,13,2130.204981651669
31,11,2293.6263605554855
66,6,3235.9081584785927
46,1,1859.8373361734402
29,6,2441.8604406958084
44,1,2636.876808303707
47,8,3419.635111376074
33,2,1871.639775118981
60,11,3035.7305531589336
54,9,2019.8878288986687
25,14,3125.519480110326
35,12,2807.736846105656
58,5,3637.7314849387076
79,3,1451.2757934520555
43,3,2211.33283907211
24,9,2673.179806336755
37,3,2750.959476345793
69,11,3143.6628077898495
74,10,2536.91176540946
30,4,2111.8020087808763
44,6,2546.8915763683963
50,9,2358.6904499939756
38,0,3299.476323825219
42,7,2975.8146617132847
20,4,1887.932490454367
78,10,2807.874582215639
28,13,2407.6260425515275
53,9,2524.939813573981
54,3,2351.955366148468
74,4,2335.367589343727
18,5,3083.5116326365983
55,11,1914.8730796588698
18,7,1131.9839831828303
78,9,2709.4113976110098
28,10,3183.6492238275086
67,14,3489.1267553492808
61,1,2382.5899656936954
57,4,3033.091184614268
32,1,2593.3939157233326
39,7,828.8541967858325
70,3,1537.5004895061393
27,4,2557.782499191191
32,14,2041.2243576864007
48,10,1363.7708323426166
24,1,3064.430833425863
67,4,3015.909148891141
40,7,1784.4887772582515
57,10,1435.1025547803513
33,1,1880.805616150028
19,12,2890.9374835166986
36,1,2266.687487496039
53,6,2896.3304907844845
49,9,2362.3767925484353
65,14,3227.361605464687
41,3,3206.1059138699748
69,2,1280.18379564978
77,11,3701.36660866112
32,3,2667.087052241086
18,8,2251.3516386945576
38,2,2839.9952916220836
38,9,2993.539324910635
39,3,1727.0221653186572
73,3,2189.57522385968
50,0,2972.0255294956855
72,14,2680.7633682740125
74,1,3204.905357942275
45,13,2716.15549681944
21,7,3003.1925065046235
32,7,2701.020284918817
76,8,3593.6731685026357
33,8,2214.8620251746547
22,4,2363.1018268464873
40,4,3157.3701547142127
75,12,2902.8909017437154
22,2,2193.112038116153
67,0,1409.82339860292
